Structure Name,CIF ( XRD ref if no CIF),local structure,type,Q^n,1st coord neighbors,1st coord number,2nd coord neighbors,2nd coord number,Chemical Formula,Static/MAS,site_index,diso (ppm),etaQ,CQ (MHz),VASP diso (ppm) (Absolute),VASP etaQ,VASP CQ (MHz),CASTEP diso (absolute),CASEP diso (refed),CASTEP etaQ,CASTEP CQ (MHz),liq ref,NMR Sequence,Field,Reference(s),year of publish,First Authors,Bravais Lattice type,Space Group,Notes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sillimanite,https://materialsproject.org/materials/mp-4934/,,,,"O,O,O,O",[4],,,Al2SiO5,Static,4,64.5,0.532,6.77,270.1734,0.5283,-6.0927,490.57,66.66728799,0.58,-6.346,,,,10.1063/1.1673897,1970,M. Raymond,Orthorhombic,Pbnm,,,,,KAl2SiAl3O10(OH)2,
Sillimanite,https://materialsproject.org/materials/mp-4934/,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,Static,0,4,0.462,8.93,218.1899,0.6169,-8.718,547.17,6.381409369,0.48,-8.559,,,,10.1063/1.1673897,1970,M. Raymond,Orthorhombic,Pbnm,,,,,NaAlSi2O6·H2O,
Sodalite,https://materialsproject.org/materials/mp-23145/,,,,"O,O,O,O",[4],,,Na8Al6Si6O24Cl2,,8,62.9,0.32,0.94,268.4438,0,-0.9702,494.53,62.44940673,0,-0.9191,,,,10.1107/S0108768184001683,1984,I. Hassan,Cubic,P4(bar)3n,,,,,Na8Al6Si6O24Cl2,
Nepheline,https://materialsproject.org/materials/mp-559901/,,,,"O,O,O,O",[4],,,Na3KAl4Si4O16,,8,61,,,268.6827,0.777,-1.449,495.3,61.62926315,0.86,-1.509,,,,Kristallographie 106 308,1955,T Hahn,Hexagonal,P6_3,,,,,Na3KAl4Si4O16,
Nepheline,https://materialsproject.org/materials/mp-559901/,,,,"O,O,O,O",[4],,,Na3KAl4Si4O16,,14,63.5,,,263.5894,0,0.8082,501.36,55.17462667,0,0.7621,,,,Kristallographie 106 308,1955,T Hahn,Hexagonal,P6_3,,,,,KAlSiO4,
Margarite,https://materialsproject.org/materials/mp-24469/,,,,"O,O,O,O",4,,,CaAl2(Al2Si2)O10(OH)2,MAS,2,76,,4.2,282.9969,0.422,-5.565,478.08,79.9706559,0.46,-6.072,,,,10.1021/ja00268a002,1986,E. Lippmaa,Monoclinic,Cc,,,,,Ca2Al2Si3O10(OH)2,
Margarite,https://materialsproject.org/materials/mp-24469/,,,,"O,O,O,O,O,O",6,,,CaAl2(Al2Si2)O10(OH)2,MAS,6,11,,6.3,220.9751,0.138,6.559,542.93,10.89752466,0.14,6.595,,,,10.1021/ja00268a002,1986,E. Lippmaa,Monoclinic,Cc,,,,,LiAlO2,
Muscovite,https://materialsproject.org/materials/mp-1200795/#,,,,"O,O,O,O",4,,,"KAl2(AlSi3O10)(F,OH)2",MAS,4,72,,2.1,279.6156,0.6602,2.8613,485.01,72.5893637,0.59,3.022,,,,10.1021/ja00268a002,1986,E. Lippmaa,Monoclinic,C2/c,,,,,NaAlO2,
Muscovite,https://materialsproject.org/materials/mp-1200795/#,,,,"O,O,O,O,O,O",6,,,"KAl2(AlSi3O10)(F,OH)2",MAS,8,5,,2.2,221.6368,0.9176,3.014,546.39,7.212204162,0.86,3.122,,,,10.1021/ja00268a002,1986,E. Lippmaa,Monoclinic,C2/c,,,,,BaAl2O4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalsilite,https://materialsproject.org/materials/mp-680374/,,,,"O,O,O,O",[4],,,KAlSiO4,,25,61.7,,1.93,268.9295,0.7573,1.6221,495.74,61.16060968,0.73,1.681,,,,"American Mineralogist, Volume 77, pages 19-29, 1992",1992,G. Hovis,Hexagonal,P6_3,,,,,CaAl12O19,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,Static,0,,0.89,3.7,217.4971,0.9687,3.7864,548.35,5.124565963,0.93,4.031,,,,"Am. Mineral. 1967, 52, 1632",1967,S.S. Hafner,Triclinic,P1(bar),,,,,Al2Si2O7,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,Static,6,,0.27,10.04,224.8889,0.3047,9.9785,540.84,13.12362866,0.33,10.3,,,,"Am. Mineral. 1967, 52, 1632",1967,S.S. Hafner,Triclinic,P1(bar),,,,,Al2Ge2O7,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,Static,2,,0.38,9.37,224.1088,0.3187,-9.8609,541.65,12.26088022,0.33,-9.695,,,,"Am. Mineral. 1967, 52, 1632",1967,S.S. Hafner,Triclinic,P1(bar),,,,,LaAlGe2O7,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,Static,4,,0.59,6.53,220.5236,0.4635,-7.0219,545.57,8.085603817,0.44,-6.775,,,,"Am. Mineral. 1967, 52, 1632",1967,S.S. Hafner,Triclinic,P1(bar),,,,,Ca19Al11Mg2Si18O68(OH)10,
α-aluminum fluoride,https://materialsproject.org/materials/mp-468/,,,,,,,,AlF3,MAS,0,,0,0.23,195.3551,0,-0.1495,566.78,-14.50562384,0,-0.1532,,,,10.1021/ja0032374,2001,P.J. Chupas,Trigonal,R3(bar)c,Significantly Different From Previous Rublication,,,,BeAl2O4,
β-aluminum fluoride,https://materialsproject.org/materials/mp-559871/,,,,,,,,AlF3,MAS,0,,0.8,0.8,195.9232,0.1859,-1.307,565.32,-12.95054641,0.19,-1.335,,,,10.1021/ja0032374,2001,P.J. Chupas,Orthorhombic,Cmcm,Significantly Different From Previous Rublication,,,,Al2TiO5,
Bayerite,https://materialsproject.org/materials/mp-560572/,,,,"O,O,O,O,O,O",[6],,,Al(OH)3,MAS,0,9.1,0.25,1.9,229.4078,0.3408,-3.5098,539.67,14.36982085,0.32,-3.795,,,,10.1021/ja011532y,2002,K.  Damodaran,Monoclinic,P21/c,,,,,Al4Si4O10(OH)8,
Bayerite,https://materialsproject.org/materials/mp-560572/,,,,"O,O,O,O,O,O",[6],,,Al(OH)3,MAS,4,13.1,0.8,1.4,229.2667,0.8643,1.7517,539.67,14.36982085,0.83,1.728,,,,10.1021/ja011532y,2002,K.  Damodaran,Monoclinic,P21/c,,,,,Ca6Al2O9·SO3·32H2O,
Gibbsite,https://materialsproject.org/materials/mp-27540/,,,,"O,O,O,O,O,O",[6],,,Al(OH)3,MAS,4,12.5,0.45,4.6,228.3377,0.3636,-5.4642,540.15,13.85856251,0.36,-5.682,Al(NO3)3,3QMAS,,10.1021/jp073968r,2007,X. Xue,Monoclinic,P21/c,,,,,K2NaAlF6,
Gibbsite,https://materialsproject.org/materials/mp-27540/,,,,"O,O,O,O,O,O",[6],,,Al(OH)3,MAS,0,10.5,0.75,2.1,226.071,0.8545,2.1973,542.51,11.3448757,0.63,2.341,Al(NO3)3,3QMAS,,10.1021/jp073968r,2007,X. Xue,Monoclinic,P21/c,,,,,Na3AlF6,
β-NaAlO2,https://materialsproject.org/materials/mp-9212/,,,,"O,O,O,O",[4],,,NaAlO2,,4,80.1,0.5,1.4,285.278,0.6104,0.795,477.57,80.51386788,0.65,0.8317,,,,10.1039/DT9860001277,1986,D. Müller,Orthorhombic,Pna2_1,,,,,Al(C₅H₇O₂)₃,
AlTlO2,https://materialsproject.org/materials/mp-14105/,,,,"O,O,O,O",[4],,,TlAlO2,,0,69,,,270.5228,0.0072,-0.0062,493.89,63.13108451,N/A,0,,,,10.1039/DT9860001277,1986,D. Müller,Cubic,Fd3(bar)m,,,,,Al2SiO4F2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAlO2,https://materialsproject.org/materials/mp-5525/,,,,"O,O,O,O",[4],,,KAlO2,,18,76,0.7,1.1,280.3671,0.8536,-1.1986,483.43,74.27225571,0.87,-1.253,,,,10.1039/DT9860001277,1986,D. Müller,Orthorhombic,Pbca,,,,,,
BaAl2O4,https://materialsproject.org/materials/mp-4202/,,,,"O,O,O,O",[4],,,BaAl2O4,,14,78,0.4,2.4,283.2108,0.6679,2.3619,481,76.86050103,0.67,2.471,,,,10.1039/DT9860001277,1986,D. Müller,Hexagonal,P6_3,,,,,,
δ-Al(OH)3,https://materialsproject.org/materials/mp-985293/#,,,,O,6,,,Al(OH)3,MAS,0,9.1,0.72,2.76,226.1736,0.448,3.3628,539.72,14.31656477,0.4,3.203,,,,10.1021/jp073968r,2007,X. Xue,Orthorhombic,P2_12_12_1,,,,,,
δ-AlOOH,ICSD_240375,,,,O,6,,,AlOOH,MAS,0,15,0.9,3.5,,,,537.36,16.83025158,0.96,3.248,,,,10.1021/jp073968r,2007,X. Xue,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
